"","full_name","castaway_id","castaway","version","version_season","season_name","season","age","city","state","episode","day","order","result","jury_status","original_tribe","date_of_birth","date_of_death","gender","race","ethnicity","poc","occupation","personality_type","screen_time_ep1","confessional_count_ep1","ncontestants","age_group","OUT"
"11","Adam Klein","US0498","Adam","US","US33","Survivor: Millennials vs. Gen X",33,25,"San Francisco","California",14,39,20,"Sole Survivor",NA,"Vanua",1991-01-15,NA,"Male","White","Jewish","White","Homeless Shelter Manager;Keynote Speaker and Host","ENTP",NA,5,20,"22-25",NA
"12","Adam Parkin","AU0026","Adam","AU","AU02","Survivor Australia: 2017",2,40,"Brisbane","QLD",2,6,2,"2nd voted out",NA,"Samatau",NA,NA,"Male",NA,NA,NA,"Pro Poker Player",NA,NA,1,24,"35-39",NA
"13","Adrian Chetty","SA0091","Ace","SA","SA06","Survivor South Africa: Philippines",6,28,"Johannesburg","Gauteng",4,11,4,"3rd voted out",NA,"Luzon",NA,NA,"Male",NA,NA,NA,"Graphic Designer",NA,NA,11,18,"26-29",NA
"14","Ai-Ting Wong","SA0108","Ting Ting","SA","SA07","Survivor South Africa: Island of Secrets",7,25,"Durban","Kwa Zulu Natal",3,7,3,"3rd voted out",NA,"Ta'alo",NA,NA,"Female","Taiwanese",NA,NA,"Doctor",NA,NA,7,21,"22-25",NA
"15","Aimee Stanton","AU0029","Aimee","AU","AU02","Survivor Australia: 2017",2,23,"Melbourne","VIC",5,13,5,"5th voted out",NA,"Samatau",NA,NA,"Female",NA,NA,NA,"Plumber",NA,NA,1,24,"22-25",NA
"16","Alan Ball","US0502","Alan","US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,32,"Houston","Texas",4,11,4,"4th voted out",NA,"Levu",1985-03-29,NA,"Male","Black",NA,"POC","NFL Player","ISTP",NA,5,18,"30-34",NA
"17","Albert Destrade","US0352","Albert","US","US23","Survivor: South Pacific",23,26,"Plantation","Florida",16,39,18,"2nd runner-up",NA,"Upolu",1985-03-31,NA,"Male","Black","Hispanic or Latino","POC","Baseball/Dating Coach����","ENTJ",NA,0,20,"26-29",NA
"18","Alec Christy","US0436","Alec","US","US29","Survivor: San Juan del Sur",29,22,"Winter Park","Florida",12,32,12,"11th voted out","5th jury member","Coyopa",1991-09-07,NA,"Male",NA,NA,"White","Student","ISFP",NA,2,18,"22-25",NA
"19","Alec Merlino","US0547","Alec","US","US37","Survivor: David vs. Goliath",37,24,"San Clemente","California",10,28,11,"9th voted out","4th jury member","Goliath",1993-10-15,NA,"Male",NA,NA,"White","Bartender","ESFP",NA,1,20,"22-25",NA
"20","Alecia Holden","US0465","Alecia","US","US32","Survivor: Kaoh Rong",32,24,"Dallas","Texas",4,11,5,"4th voted out",NA,"To Tang",1991-08-03,NA,"Female",NA,NA,"White","Real Estate Agent","ESFP",NA,4,18,"22-25",NA
"21","Alex Angarita","US0215","Alex","US","US14","Survivor: Fiji",14,28,"Los Angeles","California",12,33,13,"12th voted out","6th jury member","Moto",1978-04-20,NA,"Male","Colombian American","Hispanic or Latino","POC","Attorney","ENTJ",NA,2,19,"26-29",NA
"22","Alex Bell","US0090","Alex","US","US06","Survivor: The Amazon",6,32,"Los Angeles","California",11,30,10,"10th voted out","3rd jury member","Tambaqui",1970-05-16,NA,"Male",NA,NA,"White","Triathlon Coach","ENFJ",NA,4,15,"30-34",NA
"23","Alexandra Pohevitz","US0387","Allie","US","US26","Survivor: Caramoan",26,25,"Oceanside","New York",2,5,2,"2nd voted out",NA,"Gota",1987-12-24,NA,"Female",NA,NA,"White","Bartender","ESTP",NA,1,20,"22-25",NA
"24","Alexandrea Elliott","US0504","Ali","US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,24,"Los Angeles","California",6,16,6,"6th voted out",NA,"Yawa",1992-11-13,NA,"Female","Black",NA,"POC","Celebrity Assistant","INFJ",NA,2,18,"22-25",NA
"25","Alexis Jones","US0245","Alexis","US","US16","Survivor: Micronesia",16,24,"Beverly Hills","California",12,33,15,"12th voted out","5th jury member","Airai",1983-07-06,NA,"Female",NA,NA,"White","Motivational Speaker","ENFJ",NA,2,20,"22-25",NA
"26","Alexis Maxwell","US0413","Alexis","US","US28","Survivor: Cagayan",28,21,"Addison","Illinois",5,16,7,"6th voted out",NA,"Solana",1992-03-17,NA,"Female",NA,"Hispanic or Latino","POC","Student","ENFP",NA,3,18,"18-21",NA
"27","Alicia Calaway","US0024","Alicia","US","US02","Survivor: The Australian Outback",2,32,"Manhattan","New York",8,24,8,"7th voted out","1st jury member","Kucha",1968-05-01,NA,"Female","Black",NA,"POC","Personal Trainer","ESTJ",NA,1,16,"30-34",NA
"28","Alicia Calaway","US0024","Alicia","US","US08","Survivor: All-Stars",8,35,"New York City","New York",13,30,12,"10th voted out","3rd jury member","Chapera",1968-05-01,NA,"Female","Black",NA,"POC","Personal Trainer","ESTJ",NA,5,17,"30-34",NA
"29","Alicia Rosa","US0367","Alicia","US","US24","Survivor: One World",24,25,"Chicago","Illinois",14,37,14,"12th voted out","8th jury member","Salani",1987-01-11,NA,"Female",NA,"Hispanic or Latino","POC","Special Education Teacher","ESTJ",NA,6,17,"22-25",NA
"30","Alina Wilson","US0310","Alina","US","US21","Survivor: Nicaragua",21,23,"Downey","California",8,22,9,"9th voted out","1st jury member","La Flor",1987-02-20,NA,"Female",NA,NA,"White","Art Student","INFP",NA,4,20,"22-25",NA
"31","Alison de Chazal","SA0063","Alison","SA","SA04","Survivor South Africa: Maldives",4,53,"Durban","Kwa Zulu Natal",12,25,15,"13th voted out","8th jury member","Pleb",NA,NA,"Female",NA,NA,NA,"Mother",NA,NA,4,19,"51-55",NA
"32","Alison Raybould","US0552","Alison","US","US37","Survivor: David vs. Goliath",37,28,"Chapel Hill","North Carolina",13,37,16,"14th voted out","9th jury member","Goliath",1989-07-12,NA,"Female",NA,NA,"White","Physician","ENFJ",NA,1,20,"26-29",NA
"33","Altaaf Sheik","SA0082","Altaaf","SA","SA05","Survivor South Africa: Champions",5,29,"Durban","Kwa Zulu Natal",15,24,15,"15th voted out","6th jury member","Selatan",NA,NA,"Male",NA,NA,NA,"SAAF Helicopter Pilot",NA,NA,3,20,"26-29",NA
"34","Amanda Hoosen","SA0028","Amanda","SA","SA02","Survivor South Africa: Malaysia",2,29,"Weltevredenpark","GP",13,27,14,"13th voted out","5th jury member","Bajau",1977-10-05,NA,"Female",NA,NA,NA,"Head of Internal Audit",NA,NA,5,16,"26-29",NA
"35","Amanda Kimmel","US0235","Amanda","US","US16","Survivor: Micronesia",16,23,"Los Angeles","California",15,39,19,"Runner-up",NA,"Malakal",1984-08-03,NA,"Female",NA,NA,"White","Hiking Guide;Aspiring Designer","ISFP",NA,0,20,"22-25",NA
"36","Amanda Kimmel","US0235","Amanda","US","US15","Survivor: China",15,22,"Los Angeles","California",15,39,14,"2nd runner-up",NA,"Fei Long",1984-08-03,NA,"Female",NA,NA,"White","Hiking Guide;Aspiring Designer","ISFP",NA,1,16,"22-25",NA
"37","Amanda Kimmel","US0235","Amanda","US","US20","Survivor: Heroes vs. Villains",20,25,"Los Angeles","California",11,30,12,"12th voted out","4th jury member","Heroes",1984-08-03,NA,"Female",NA,NA,"White","Hiking Guide;Aspiring Designer","ISFP",NA,5,20,"22-25",NA
"38","Amber Mariano","US0027","Amber","US","US40","Survivor: Winners at War",40,40,"Pensacola","Florida",1,3,2,"2nd voted out","1st jury member","Dakal",1978-08-11,NA,"Female",NA,NA,"White","Administrative Assistant;Director of Marketing and Communications","ISFP",NA,4,22,"35-39",2
"39","Ami Cusack","US0125","Ami","US","US16","Survivor: Micronesia",16,34,"Golden","Colorado",8,21,10,"8th voted out",NA,"Malakal",1973-01-25,NA,"Female",NA,NA,"White","Coffee Barista;Nanny","ENTJ",NA,2,20,"30-34",NA
"40","Ami Cusack","US0125","Ami","US","US09","Survivor: Vanuatu",9,31,"Lakewood","Colorado",12,33,13,"13th voted out","4th jury member","Yasur",1973-01-25,NA,"Female",NA,NA,"White","Coffee Barista;Nanny","ENTJ",NA,1,18,"30-34",NA
"41","Amy Eliason","SA0138","Amy","SA","SA08","Survivor South Africa: Immunity Island",8,33,"Johannesburg","Gauteng",10,26,12,"Tied destiny","4th jury member","Zamba",NA,NA,"Female",NA,NA,NA,"Corporate Lawyer",NA,NA,4,20,"30-34",NA
"42","Amy O'Hara","US0158","Amy","US","US11","Survivor: Guatemala",11,39,"Revere","Massachusetts",7,18,8,"8th voted out",NA,"Yaxha",1965-11-02,NA,"Female",NA,NA,"White","Police Sergeant","ESTP",NA,1,18,"35-39",NA
"43","Amy Ong","AU0120","Amy","AU","AU07","Survivor Australia: Blood vs. Water",7,24,NA,"Victoria",9,NA,9,"8th voted out",NA,"Blood",NA,NA,"Female",NA,NA,NA,NA,"INFJ",NA,1,28,"22-25",NA
"44","Anastasia Woolmer","AU0072","Anastasia","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,42,"Brisbane","QLD",1,2,1,"1st voted out",NA,"Champions",NA,NA,"Female",NA,NA,NA,"Memory Champion",NA,NA,6,25,"40-44",NA
"45","Andrea Boehlke","US0333","Andrea","US","US34","Survivor: Game Changers",34,27,"New York City","New York",11,33,13,"13th voted out","6th jury member","Nuku",1989-05-10,NA,"Female",NA,NA,"White","Student;Entertainment Host/Writer","ENFP",NA,1,20,"26-29",NA
"46","Andrea Boehlke","US0333","Andrea","US","US22","Survivor: Redemption Island",22,21,"Random Lake","Wisconsin",14,37,16,"16th voted out","8th jury member","Ometepe",1989-05-10,NA,"Female",NA,NA,"White","Student;Entertainment Host/Writer","ENFP",NA,1,20,"18-21",NA
"47","Andrea Boehlke","US0333","Andrea","US","US22","Survivor: Redemption Island",22,21,"Random Lake","Wisconsin",12,32,14,"14th voted out",NA,"Ometepe",1989-05-10,NA,"Female",NA,NA,"White","Student;Entertainment Host/Writer","ENFP",NA,1,20,"18-21",NA
"48","Andrea Boehlke","US0333","Andrea","US","US26","Survivor: Caramoan",26,23,"New York City","New York",12,33,14,"13th voted out","5th jury member","Bikal",1989-05-10,NA,"Female",NA,NA,"White","Student;Entertainment Host/Writer","ENFP",NA,2,20,"22-25",NA
"49","Andrew Savage","US0105","Andrew","US","US07","Survivor: Pearl Islands",7,39,"Chicago","Illinois",8,21,9,"8th voted out",NA,"Morgan",1963-07-29,NA,"Male",NA,NA,"White","Attorney","ESTJ",NA,7,18,"35-39",NA
"50","Andrew Savage","US0105","Andrew","US","US31","Survivor: Cambodia",31,51,"San Jose","California",8,21,9,"8th voted out","2nd jury member","Bayon",1963-07-29,NA,"Male",NA,NA,"White","Attorney","ESTJ",NA,2,20,"51-55",NA
"51","Andrew Torrens","AU0009","Andrew","AU","AU01","Survivor Australia: 2016",1,29,"Brisbane","QLD",11,25,9,"8th voted out",NA,"Vavau",NA,NA,"Male",NA,NA,NA,"Marketing Expert",NA,NA,2,24,"26-29",NA
"52","Andrew Ucles","AU0113","Andrew","AU","AU06","Survivor Australia: Brains vs. Brawn",6,33,"Alice Springs","NT",19,39,19,"18th voted out","5th jury member","Brains",NA,NA,"Male",NA,NA,NA,"Survival Expert",NA,NA,0,26,"30-34",NA
"53","Andria Herd","US0219","Dreamz","US","US14","Survivor: Fiji",14,25,"Wilmington","North Carolina",15,39,17,"Co-runner-up",NA,"Moto",1981-12-15,NA,"Male","Black",NA,"POC","Cheerleading Coach","ESFP",NA,3,19,"22-25",NA
"54","Andy Meldrum","AU0084","Andy","AU","AU07","Survivor Australia: Blood vs. Water",7,49,"Noosa","Queensland",1,NA,1,"1st voted out",NA,"Water",NA,NA,"Male",NA,NA,NA,"Marketing Executive",NA,NA,6,28,"45-50",NA
"55","Andy Meldrum","AU0084","Andy","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,47,"Noosa","QLD",14,30,13,"12th voted out",NA,"Contenders",NA,NA,"Male",NA,NA,NA,"Marketing Executive",NA,NA,8,25,"45-50",NA
"56","Anela Majozi","SA0145","Anela","SA","SA08","Survivor South Africa: Immunity Island",8,25,"Durban","Kwa Zulu Natal",16,39,19,"Runner-up",NA,"Zamba",NA,NA,"Male",NA,NA,NA,"Math Educator",NA,NA,2,20,"22-25",NA
"57","Anesu Mbizvo","SA0139","Anesu","SA","SA08","Survivor South Africa: Immunity Island",8,29,"Johannesburg","Gauteng",11,28,13,"12th voted out","5th jury member","Vuna",NA,NA,"Female",NA,NA,NA,"Doctor/Vegan Lifestyle Entrepreneur",NA,NA,3,20,"26-29",NA
"58","Angela Beck","SA0025","Angela","SA","SA02","Survivor South Africa: Malaysia",2,23,"Krugersdorp","GP",11,23,11,"11th voted out","2nd jury member","Bajau",1983-11-16,NA,"Female",NA,NA,NA,"Modelling Coach",NA,NA,3,16,"22-25",NA
"59","Angelina Keeley","US0554","Angelina","US","US37","Survivor: David vs. Goliath",37,28,"San Clemente","California",14,39,18,"2nd runner-up",NA,"Goliath",1989-07-06,NA,"Female",NA,"Hispanic or Latino","POC","Financial Consultant","ENTJ",NA,4,20,"26-29",NA
"60","Angie Bennett","SA0026","Angie","SA","SA02","Survivor South Africa: Malaysia",2,30,"Mowbray","WC",12,25,12,"12th voted out","3rd jury member","Iban",1977-07-15,NA,"Female",NA,NA,NA,"Boot Camp Instructor",NA,NA,3,16,"26-29",NA
"61","Angie Jakusz","US0138","Angie","US","US10","Survivor: Palau",10,24,"New Orleans","Louisiana",5,12,8,"6th voted out",NA,"Ulong",1980-03-27,2021-01-08,"Female",NA,NA,"White","Bartender","INFP",NA,6,20,"22-25",NA
"62","Angie Layton","US0374","Angie","US","US25","Survivor: Philippines",25,20,"Provo","Utah",3,8,3,"3rd voted out",NA,"Matsing",1991-10-08,NA,"Female",NA,NA,"White","Model/Student","INFP",NA,3,18,"18-21",NA
"63","Anh-Tuan Bui","US0188","Cao Boi","US","US13","Survivor: Cook Islands",13,42,"Christiansburg","Virginia",6,15,6,"6th voted out",NA,"Puka Puka",1964-04-10,NA,"Male","Asian","Vietnamese American","POC","Nail Salon Manager","ENFP",NA,5,20,"40-44",NA
"64","Anita Berkett","AU0055","Anita","AU","AU03","Survivor Australia: Champions vs. Contenders",3,50,"Sunshine Coast","QLD",8,20,8,"8th voted out",NA,"Contenders",NA,NA,"Female",NA,NA,NA,"Sales Rep",NA,NA,4,25,"45-50",NA
"65","Anna Khait","US0466","Anna","US","US32","Survivor: Kaoh Rong",32,26,"Brooklyn","New York",5,13,6,"5th voted out",NA,"Gondol",1988-09-17,NA,"Female",NA,NA,"White","Pro Poker Player","ENFP",NA,6,18,"26-29",NA
"66","Annalize Sainsbury","SA0103","Annalize","SA","SA06","Survivor South Africa: Philippines",6,44,"Cape Town","Western Cape",16,38,16,"14th voted out","8th jury member","Luzon",NA,NA,"Female",NA,NA,NA,"Caterer",NA,NA,2,18,"40-44",NA
"67","Anneliese Wilson","AU0038","Anneliese","AU","AU02","Survivor Australia: 2017",2,23,"Melbourne","VIC",17,38,14,"14th voted out","2nd jury member","Samatau",NA,NA,"Female",NA,NA,NA,"Student",NA,NA,1,24,"22-25",NA
"68","Anthony Deane","NZ0003","Tony","NZ","NZ01","Survivor NZ: Nicaragua",1,55,"Gisborne",NA,2,4,3,"3rd voted out",NA,"Mogoton",NA,NA,"Male",NA,NA,NA,"Army Veteran",NA,NA,8,19,"51-55",NA
"69","Anthony Robinson","US0209","Anthony","US","US14","Survivor: Fiji",14,32,"Compton","California",6,16,7,"6th voted out",NA,"Ravu",1974-06-25,NA,"Male","Black",NA,"POC","Expert Witness Locator","INFP",NA,4,19,"30-34",NA
"70","Antoinette Tebbutt","SA0099","Toni","SA","SA06","Survivor South Africa: Philippines",6,38,"Johannesburg","Gauteng",12,30,12,"10th voted out","4th jury member","Mindanao",NA,NA,"Female",NA,NA,NA,"Content Developer",NA,NA,2,18,"35-39",NA
"71","Antoinette Tebbutt","SA0099","Toni","SA","SA09","Survivor South Africa: Return of the Outcasts",9,41,"Cape Town","WC",13,21,10,"10th voted out","1st jury member","Masu",NA,NA,"Female",NA,NA,NA,"Content Developer",NA,NA,3,20,"40-44",NA
"72","Aras Baskauskas","US0182","Aras","US","US27","Survivor: Blood vs. Water",27,31,"Santa Monica","California",8,21,12,"10th voted out","1st jury member","Galang",1981-09-26,NA,"Male",NA,NA,"White","Yoga Instructor;Musician","INFP",NA,2,23,"30-34",NA
"73","Aras Baskauskas","US0182","Aras","US","US12","Survivor: Panama",12,24,"Santa Monica","California",16,39,16,"Sole Survivor",NA,"Viveros",1981-09-26,NA,"Male",NA,NA,"White","Yoga Instructor;Musician","INFP",NA,1,16,"22-25",NA
"74","Artis Silvester","US0380","Artis","US","US25","Survivor: Philippines",25,53,"Terrytown","Louisiana",9,25,10,"9th voted out","3rd jury member","Tandang",1959-04-18,NA,"Male","Black",NA,"POC","Computer Engineer","ISTJ",NA,0,18,"51-55",NA
"75","Ashlee Ashby","US0134","Ashlee","US","US10","Survivor: Palau",10,22,"Easley","South Carolina",2,6,4,"2nd voted out",NA,"Ulong",1982-05-02,NA,"Female",NA,NA,"White","Student","ISFJ",NA,1,20,"22-25",NA
"76","Ashleigh Bryant","SA0068","Ashleigh","SA","SA05","Survivor South Africa: Champions",5,22,"Pinelands","Western Cape",2,3,1,"1st voted out",NA,"Selatan",NA,NA,"Female",NA,NA,NA,"High School Teacher",NA,NA,3,20,"22-25",NA
"77","Ashley Hayden","SA0047","Ashley","SA","SA03","Survivor South Africa: Santa Carolina",3,42,"Johannesburg","Gauteng",14,27,17,"Runner-up",NA,"Timbila",1967-11-04,NA,"Female",NA,NA,NA,"Presenter",NA,NA,2,18,"40-44",NA
"78","Ashley Massaro","US0223","Ashley","US","US15","Survivor: China",15,28,"East Northport","New York",2,6,2,"2nd voted out",NA,"Zhan Hu",1979-05-26,2019-05-16,"Female",NA,NA,"White","Professional Wrestler","ESFP",NA,3,16,"26-29",NA
"79","Ashley Nolan","US0511","Ashley","US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,26,"Satellite Beach","Florida",12,36,13,"13th voted out","6th jury member","Levu",1990-09-17,NA,"Female",NA,NA,"White","Lifeguard","ESFP",NA,3,18,"26-29",NA
"80","Ashley Trainer","US0287","Ashley","US","US19","Survivor: Samoa",19,22,"Maple Grove","Minnesota",5,14,6,"5th voted out",NA,"Foa Foa",1987-02-27,NA,"Female",NA,NA,"White","Spa Sales","ENFP",NA,2,20,"22-25",NA
"81","Ashley Underwood","US0335","Ashley","US","US22","Survivor: Redemption Island",22,25,"Benton","Maine",14,38,17,"17th voted out","9th jury member","Ometepe",1985-02-08,NA,"Female",NA,NA,"White","Nurse","ESTP",NA,1,20,"22-25",NA
"82","Aubry Bracco","US0477","Aubry","US","US34","Survivor: Game Changers",34,30,"Cambridge","Massachusetts",12,37,16,"15th voted out","9th jury member","Mana",1985-11-14,NA,"Female",NA,NA,"White","Social Media Marketer;Marketing Director","INFJ",NA,2,20,"26-29",NA
"83","Aubry Bracco","US0477","Aubry","US","US32","Survivor: Kaoh Rong",32,29,"Cambridge","Massachusetts",15,39,17,"Runner-up",NA,"Chan Loh",1985-11-14,NA,"Female",NA,NA,"White","Social Media Marketer;Marketing Director","INFJ",NA,3,18,"26-29",NA
"84","Aubry Bracco","US0477","Aubry","US","US38","Survivor: Edge of Extinction",38,32,"Los Angeles","California",5,13,5,"5th voted out","2nd jury member","Kama",1985-11-14,NA,"Female",NA,NA,"White","Social Media Marketer;Marketing Director","INFJ",NA,1,20,"30-34",NA
"85","Aurora McCreary","US0566","Aurora","US","US38","Survivor: Edge of Extinction",38,32,"Orlando","Florida",12,34,14,"14th voted out","10th jury member","Kama",1985-12-21,NA,"Female",NA,NA,"White","Divorce Lawyer","ISTP",NA,1,20,"30-34",NA
"86","Austin Carty","US0174","Austin","US","US12","Survivor: Panama",12,24,"High Point","North Carolina",9,21,8,"8th voted out","1st jury member","Viveros",1981-04-29,NA,"Male",NA,NA,"White","Writer","INFP",NA,2,16,"22-25",NA
"87","Avi Duckor-Jones","NZ0016","Avi","NZ","NZ01","Survivor NZ: Nicaragua",1,32,"Wellington",NA,19,39,18,"Sole survivor",NA,"Mogoton",NA,NA,"Male",NA,NA,NA,"Youth Expedition Leader",NA,NA,4,19,"30-34",NA
"88","B.B. Andersen","US0002","B.B.","US","US01","Survivor: Borneo",1,64,"Mission Hills","Kansas",2,6,2,"2nd voted out",NA,"Pagong",1936-01-18,2013-10-29,"Male",NA,NA,"White","Real Estate Developer","ESTJ",NA,3,16,"61-65",NA
"89","Baden Cooke","AU0109","Baden","AU","AU06","Survivor Australia: Brains vs. Brawn",6,42,"Melbourne","VIC",14,31,13,"13th voted out","1st jury member","Brains",NA,NA,"Male",NA,NA,NA,"Ex-Pro Cyclist",NA,NA,1,26,"40-44",NA
"90","Baden Gilbert","AU0093","Baden","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,23,"Adelaide","SA",24,50,24,"Runner-up",NA,"Contenders",NA,NA,"Male",NA,NA,NA,"Student",NA,NA,0,25,"22-25",NA
"91","Barbara Raos","NZ0014","Barb","NZ","NZ01","Survivor NZ: Nicaragua",1,53,"Auckland",NA,19,39,17,"2nd runner-up",NA,"Hermosa",NA,NA,"Female",NA,NA,NA,"Mother",NA,NA,1,19,"51-55",NA
"92","Barry Lea","AU0005","Barry","AU","AU01","Survivor Australia: 2016",1,44,"Cairns","QLD",6,14,5,"4th voted out",NA,"Vavau",NA,NA,"Male",NA,"Aboriginal or Torres Strait Islander",NA,"Former Pro-Rugby Player",NA,NA,0,24,"40-44",NA
"93","Baylor Wilson","US0438","Baylor","US","US29","Survivor: San Juan del Sur",29,20,"Nashville","Tennessee",14,37,14,"13th voted out","7th jury member","Coyopa",1994-01-25,NA,"Female",NA,NA,"White","Student","ESFP",NA,4,18,"18-21",NA
"94","Ben Browning","US0285","Ben","US","US19","Survivor: Samoa",19,28,"Los Angeles","California",3,8,4,"3rd voted out",NA,"Foa Foa",1980-08-28,NA,"Male",NA,NA,"White","Bar Manager","ESTP",NA,1,20,"26-29",NA
"95","Ben Driebergen","US0516","Ben","US","US40","Survivor: Winners at War",40,36,"Boise","Idaho",14,37,18,"18th voted out","15th jury member","Sele",1983-01-01,NA,"Male",NA,NA,"White","Marine;Real Estate/Stay-at-home Dad","ESFP",NA,4,22,"35-39",NA
"96","Ben Driebergen","US0516","Ben","US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,34,"Boise","Idaho",14,39,18,"Sole Survivor",NA,"Levu",1983-01-01,NA,"Male",NA,NA,"White","Marine;Real Estate/Stay-at-home Dad","ESFP",NA,2,18,"30-34",NA
"97","Ben Henry","US0315","Benry","US","US21","Survivor: Nicaragua",21,24,"Los Angeles","California",13,32,14,"12th voted out","6th jury member","La Flor",1986-06-25,NA,"Male",NA,NA,"White","Club Promoter","ESTP",NA,0,20,"22-25",NA
"98","Ben Morgan","AU0035","Ben","AU","AU02","Survivor Australia: 2017",2,20,"Perth","WA",13,30,11,"11th voted out",NA,"Asaga",NA,NA,"Male",NA,NA,NA,"Fast Food Attendant",NA,NA,0,24,"18-21",NA
"99","Ben Watson","AU0121","Ben","AU","AU07","Survivor Australia: Blood vs. Water",7,33,"Sunshine Coast","Queensland",12,NA,12,"10th voted out",NA,"Blood",NA,NA,"Male",NA,NA,NA,NA,"ISTP",NA,1,28,"30-34",NA
"100","Benjamin Wade","US0277","Coach","US","US18","Survivor: Tocantins",18,37,"Bolivar","Missouri",13,36,12,"11th voted out","5th jury member","Timbira",1971-09-18,NA,"Male",NA,NA,"White","Soccer Coach/Musician","ENFJ",NA,5,16,"35-39",NA
"101","Benjamin Wade","US0277","Coach","US","US20","Survivor: Heroes vs. Villains",20,38,"Susanville","California",8,21,9,"9th voted out","1st jury member","Villains",1971-09-18,NA,"Male",NA,NA,"White","Soccer Coach/Musician","ENFJ",NA,11,20,"35-39",NA
"102","Benjamin Wade","US0277","Coach","US","US23","Survivor: South Pacific",23,39,"Susanville","California",16,39,19,"Runner-up",NA,"Upolu",1971-09-18,NA,"Male",NA,NA,"White","Soccer Coach/Musician","ENFJ",NA,8,20,"35-39",NA
"103","Benji Wilson","AU0064","Benji","AU","AU03","Survivor Australia: Champions vs. Contenders",3,26,"Melbourne","VIC",18,39,18,"18th voted out","4th jury member","Contenders",NA,NA,"Male",NA,NA,NA,"Entrepreneur",NA,NA,0,25,"26-29",NA
"104","Betsy Bolan","US0284","Betsy","US","US19","Survivor: Samoa",19,48,"Campton","New Hampshire",2,6,3,"2nd voted out",NA,"Foa Foa",1961-03-20,NA,"Female",NA,NA,"White","Police Officer","ESTJ",NA,2,20,"45-50",NA
"105","Bianca Anderson","AU0002","Bianca","AU","AU01","Survivor Australia: 2016",1,36,"Melbourne","VIC",2,5,2,"2nd voted out",NA,"Saanapu",NA,NA,"Female",NA,NA,NA,"Private Investigator",NA,NA,2,24,"35-39",NA
